PID,DN,DP,TN,RL,tag,work_spec_id
"(PID, com.microsoft.appmanager)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(TN, WorkTag)","(RL, 1)","(tag, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(work_spec_id, 8c72a1f5-e616-4db5-9141-43da243b6980)"
"(PID, com.microsoft.appmanager)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(TN, WorkTag)","(RL, 2)","(tag, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(work_spec_id, 55c6eb84-39bf-4b0c-bdb2-0c7bc0d6dd52)"
"(PID, com.microsoft.appmanager)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(TN, WorkTag)","(RL, 3)","(tag, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(work_spec_id, 850ace93-c07e-4a26-9b53-037ec5be0442)"
"(PID, com.microsoft.appmanager)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(TN, WorkTag)","(RL, 4)","(tag, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(work_spec_id, 51816772-a230-46f7-8315-7c83891f85de)"
"(PID, com.microsoft.appmanager)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(TN, WorkTag)","(RL, 5)","(tag, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(work_spec_id, 064635ed-b3f4-40d7-8e0c-39a976106dac)"
"(PID, com.microsoft.appmanager)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(TN, WorkTag)","(RL, 6)","(tag, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(work_spec_id, 92c07ad2-fc63-4654-8ac4-cb24b38ce87f)"
"(PID, com.microsoft.appmanager)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(TN, WorkTag)","(RL, 7)","(tag, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(work_spec_id, 14dfc966-4a5a-4c6b-821d-5bb7c7adcd74)"
"(PID, com.microsoft.appmanager)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(TN, WorkTag)","(RL, 8)","(tag, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(work_spec_id, c60fa03e-d08c-4111-9034-4be6735a501c)"
"(PID, com.microsoft.appmanager)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(TN, WorkTag)","(RL, 9)","(tag, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(work_spec_id, ec2924d8-68e8-47d6-a0c9-ce3076739089)"
"(PID, com.microsoft.appmanager)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(TN, WorkTag)","(RL, 10)","(tag, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(work_spec_id, b77cd439-38df-42cc-8b0a-9bd7a8dab3ac)"
"(PID, com.microsoft.appmanager)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(TN, WorkTag)","(RL, 11)","(tag, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(work_spec_id, b2c0c065-6450-451a-8f5d-b55211707f3c)"
"(PID, com.microsoft.appmanager)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(TN, WorkTag)","(RL, 12)","(tag, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(work_spec_id, 10de694f-2d86-4723-be81-3820fcd19f86)"
"(PID, com.microsoft.appmanager)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(TN, WorkTag)","(RL, 13)","(tag, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(work_spec_id, f533aa0b-3308-4132-823f-e42c8e0ad517)"
"(PID, com.microsoft.appmanager)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(TN, WorkTag)","(RL, 14)","(tag, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(work_spec_id, 3738bc6f-4be0-43a3-80bf-7d8d83e5b3a4)"
"(PID, com.microsoft.appmanager)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(TN, WorkTag)","(RL, 15)","(tag, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(work_spec_id, b02ffd44-ef5d-4530-aa2a-f2e0d18b81a2)"
"(PID, com.microsoft.appmanager)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(TN, WorkTag)","(RL, 16)","(tag, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(work_spec_id, 2b74c9c5-3c9a-47cc-a3c9-96b9395b5341)"
